Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1680817417.1700454,[-1.41421356],[1.11022302e-16],[0.],[0.],-7.450194753212462,5.848747298872158e-16,0.0,0.0
1680817417.2248678,[-0.88388348],[-6.18718434],[0.002314],[0.002314],-4.65320338693315,-32.59143371147989,0.0,0.0
1680817417.2807539,[-0.88388348],[-6.18718434],[0.00154267],[0.00154267],-4.654259498208031,-32.592489822754764,0.0,0.0
1680817417.3371525,[-0.88388348],[-6.18718434],[0.00077133],[0.00077133],-4.655315609482911,-32.59354593402965,0.0,0.0
1680817417.3935463,[-0.92807765],[-6.14299016],[-0.00154267],[-0.00154267],-4.891302529345441,-32.363895681816395,0.0,0.0
1680817417.450617,[-0.88388348],[-6.18718434],[0.00308534],[0.00308534],-4.65214727565827,-32.590377600205,0.0,0.0
1680817417.507189,[-0.88388348],[-6.18718434],[0.01079867],[0.01079867],-4.641586162909467,-32.5798164874562,0.0,0.0
1680817417.5637307,[-0.88388348],[-6.18718434],[-0.00617067],[-0.00617067],-4.664820610956834,-32.60305093550357,0.0,0.0
1680817417.6208005,[-0.88388348],[-6.18718434],[-0.00539934],[-0.00539934],-4.663764499681953,-32.60199482422869,0.0,0.0
1680817417.6770322,[-0.88388348],[-6.18718434],[-0.00077133],[-0.00077133],-4.657427832032671,-32.595658156579404,0.0,0.0
1680817417.7336354,[-0.88388348],[-6.18718434],[0.00154267],[0.00154267],-4.654259498208031,-32.592489822754764,0.0,0.0
1680817417.790624,[-0.88388348],[-6.18718434],[-0.002314],[-0.002314],-4.659540054582433,-32.597770379129166,0.0,0.0
1680817417.8475082,[-0.88388348],[-6.18718434],[-0.00539934],[-0.00539934],-4.663764499681953,-32.60199482422869,0.0,0.0
1680817417.9027445,[-0.88388348],[-6.18718434],[0.01002734],[0.01002734],-4.642642274184347,-32.580872598731084,0.0,0.0
1680817417.957691,[-0.92807765],[-6.14299016],[0.00385667],[0.00385667],-4.883909750421279,-32.35650290289223,0.0,0.0
1680817418.012938,[-0.92807765],[-6.14299016],[-0.00385667],[-0.00385667],-4.894470863170082,-32.367064015641034,0.0,0.0
1680817418.0672975,[-0.92807765],[-6.14299016],[-0.006942],[-0.006942],-4.898695308269604,-32.37128846074056,0.0,0.0
1680817418.1226988,[-0.92807765],[-6.14299016],[0.002314],[0.002314],-4.886021972971039,-32.35861512544199,0.0,0.0
1680817418.1798747,[-0.92807765],[-6.14299016],[0.00077133],[0.00077133],-4.8881341955208,-32.360727347991755,0.0,0.0
1680817418.238093,[-0.92807765],[-6.14299016],[-0.00077133],[-0.00077133],-4.890246418070561,-32.36283957054151,0.0,0.0
1680817418.2937112,[-0.92807765],[-6.14299016],[0.00308534],[0.00308534],-4.884965861696159,-32.35755901416711,0.0,0.0
1680817418.3493383,[-0.92807765],[-6.14299016],[0.00077133],[0.00077133],-4.8881341955208,-32.360727347991755,0.0,0.0
1680817418.405121,[-0.92807765],[-6.14299016],[0.00308534],[0.00308534],-4.884965861696159,-32.35755901416711,0.0,0.0
1680817418.4601626,[-0.92807765],[-6.14299016],[0.00154267],[0.00154267],-4.88707808424592,-32.35967123671687,0.0,0.0
1680817418.5162024,[-0.92807765],[-6.14299016],[0.],[-0.],-4.889190306795681,-32.36178345926663,0.0,0.0
1680817418.5717137,[-0.92807765],[-6.14299016],[0.],[-0.],-4.889190306795681,-32.36178345926663,0.0,0.0
1680817418.6269872,[-0.92807765],[-6.14299016],[0.00077133],[0.00077133],-4.8881341955208,-32.360727347991755,0.0,0.0
1680817418.6838546,[-0.92807765],[-6.14299016],[0.00077133],[0.00077133],-4.8881341955208,-32.360727347991755,0.0,0.0
1680817418.74026,[-0.92807765],[-6.14299016],[2.16840434e-19],[-2.16840434e-19],-4.889190306795681,-32.36178345926663,0.0,0.0
1680817418.798485,[-0.92807765],[-6.14299016],[0.004628],[0.004628],-4.882853639146399,-32.355446791617354,0.0,0.0
1680817418.8590286,[-0.92807765],[-6.14299016],[0.00308534],[0.00308534],-4.884965861696159,-32.35755901416711,0.0,0.0
1680817418.9183986,[-0.92807765],[-6.14299016],[0.00077133],[0.00077133],-4.8881341955208,-32.360727347991755,0.0,0.0
1680817418.9787054,[-0.92807765],[-6.14299016],[0.00308534],[0.00308534],-4.884965861696159,-32.35755901416711,0.0,0.0
1680817419.03899,[-0.92807765],[-6.14299016],[0.002314],[0.002314],-4.886021972971039,-32.35861512544199,0.0,0.0
1680817419.099017,[-0.92807765],[-6.14299016],[-0.00154267],[-0.00154267],-4.891302529345441,-32.363895681816395,0.0,0.0
1680817419.15822,[-0.92807765],[-6.14299016],[-0.00077133],[-0.00077133],-4.890246418070561,-32.36283957054151,0.0,0.0
1680817419.2174637,[-0.92807765],[-6.14299016],[-0.00539934],[-0.00539934],-4.8965830857198425,-32.369176238190796,0.0,0.0
1680817419.2772233,[-0.92807765],[-6.14299016],[-0.00385667],[-0.00385667],-4.894470863170082,-32.367064015641034,0.0,0.0
1680817419.3375518,[-0.92807765],[-6.14299016],[0.006942],[0.006942],-4.8796853053217575,-32.35227845779271,0.0,0.0
1680817419.3974664,[-0.92807765],[-6.14299016],[-0.00077133],[-0.00077133],-4.890246418070561,-32.36283957054151,0.0,0.0
1680817419.4571016,[-0.92807765],[-6.14299016],[0.00385667],[0.00385667],-4.883909750421279,-32.35650290289223,0.0,0.0
