Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1680817563.9110453,[-1.41421356],[1.11022302e-16],[-0.00308534],[-0.00308534],-0.18193445222562574,-0.00011672390739450526,0.0,0.0
1680817563.9660206,[-0.79549513],[-6.27557268],[1.08420217e-19],[-1.08420217e-19],-0.10227247217900509,-0.806816169412151,0.0,0.0
1680817564.0215693,[-0.79549513],[-6.27557268],[-0.00077133],[-0.00077133],-0.10230165315585371,-0.8068453503889996,0.0,0.0
1680817564.076576,[-0.79549513],[-6.27557268],[-0.00154267],[-0.00154267],-0.10233083413270234,-0.8068745313658482,0.0,0.0
1680817564.1319602,[-0.79549513],[-6.27557268],[0.],[-0.],-0.10227247217900509,-0.806816169412151,0.0,0.0
1680817564.1867347,[-0.79549513],[-6.27557268],[-1.08420217e-19],[1.08420217e-19],-0.10227247217900509,-0.806816169412151,0.0,0.0
1680817564.243496,[-0.79549513],[-6.27557268],[-0.00077133],[-0.00077133],-0.10230165315585371,-0.8068453503889996,0.0,0.0
1680817564.2983289,[-0.79549513],[-6.27557268],[0.00077133],[0.00077133],-0.10224329120215647,-0.8067869884353023,0.0,0.0
1680817564.3536572,[-0.79549513],[-6.27557268],[-0.00077133],[-0.00077133],-0.10230165315585371,-0.8068453503889996,0.0,0.0
1680817564.408761,[-0.79549513],[-6.27557268],[-0.00077133],[-0.00077133],-0.10230165315585371,-0.8068453503889996,0.0,0.0
1680817564.4635956,[-0.79549513],[-6.27557268],[2.16840434e-19],[-2.16840434e-19],-0.10227247217900509,-0.806816169412151,0.0,0.0
1680817564.5186243,[-0.79549513],[-6.27557268],[-0.002314],[-0.002314],-0.10236001510955096,-0.806903712342697,0.0,0.0
1680817564.573622,[-0.79549513],[-6.27557268],[-0.00154267],[-0.00154267],-0.10233083413270234,-0.8068745313658482,0.0,0.0
1680817564.628337,[-0.79549513],[-6.27557268],[0.00385667],[0.00385667],-0.10212656729476194,-0.8066702645279078,0.0,0.0
1680817564.6832912,[-0.79549513],[-6.27557268],[-0.00077133],[-0.00077133],-0.10230165315585371,-0.8068453503889996,0.0,0.0
