Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1681246433.4001114,[-1.63518443],[1.016466],[-0.00154267],[-0.00154267],-0.011452731658049877,0.0071088213480969935,0.8088990615701533,0.873353170061799
1681246433.4557927,[-0.53033009],[0.88388348],[-0.00308534],[-0.00308534],-0.0037251918764146597,0.006174303060197005,0.7863401235980773,0.8540169375143053
1681246433.5104837,[-0.53033009],[0.88388348],[-0.004628],[-0.004628],-0.003731632514007302,0.006167862422604363,0.8024536507209887,0.8250125886930647
1681246433.5660858,[-0.53033009],[0.88388348],[-0.00154267],[-0.00154267],-0.003718751238822017,0.006180743697789648,0.8540169375143053,0.7670038910505836
1681246433.6215785,[-0.48613591],[0.92807765],[-0.00077133],[-0.00077133],-0.003406171703256581,0.006493323233355085,0.8701304646372168,0.7508903639276722
1681246433.677036,[-0.48613591],[0.92807765],[-0.00077133],[-0.00077133],-0.003406171703256581,0.006493323233355085,0.8346807049668116,0.7798947127489128
1681246433.7317247,[-0.48613591],[0.92807765],[-0.00385667],[-0.00385667],-0.0034190529784418663,0.0064804419581697996,0.7798947127489128,0.8379034103913939
1681246433.7865455,[-0.44194174],[0.88388348],[-1.08420217e-19],[1.08420217e-19],-0.0030935921676911444,0.006187184335382291,0.7702265964751659,0.8540169375143053
1681246433.8421433,[-0.44194174],[0.88388348],[-0.00617067],[-0.00617067],-0.0031193547180617155,0.006161421785011719,0.7992309452964065,0.8250125886930647
1681246433.897115,[-0.44194174],[0.88388348],[-0.00077133],[-0.00077133],-0.0030968124864874658,0.00618396401658597,0.8604623483634698,0.7637811856260013
1681246433.9519484,[-0.44194174],[0.88388348],[-0.006942],[-0.006942],-0.003122575036858037,0.006158201466215398,0.873353170061799,0.7476676585030899
1681246434.0070388,[-0.44194174],[0.88388348],[-0.002314],[-0.002314],-0.003103253124080109,0.006177523378993327,0.8411261158159762,0.7766720073243305
1681246434.0627465,[-0.44194174],[0.88388348],[-1.08420217e-19],[1.08420217e-19],-0.0030935921676911444,0.006187184335382291,0.783117418173495,0.8346807049668116
1681246434.1175344,[-0.44194174],[0.88388348],[-0.00077133],[-0.00077133],-0.0030968124864874658,0.00618396401658597,0.7702265964751659,0.8507942320897229
1681246434.1728237,[-0.39774756],[0.92807765],[-0.00385667],[-0.00385667],-0.0028003345449036368,0.006480441958169798,0.8056763561455711,0.8250125886930647
1681246434.2283187,[-0.39774756],[0.92807765],[-0.00077133],[-0.00077133],-0.0027874532697183515,0.006493323233355084,0.8636850537880522,0.7637811856260013
1681246434.2839613,[-0.39774756],[0.92807765],[-0.004628],[-0.004628],-0.002803554863699958,0.006477221639373476,0.8797985809109636,0.7476676585030899
1681246434.3387978,[-0.39774756],[0.92807765],[-0.00154267],[-0.00154267],-0.002790673588514673,0.006490102914558762,0.8507942320897229,0.7798947127489128
1681246434.3944116,[-0.39774756],[0.92807765],[0.00308534],[0.00308534],-0.002771351675736744,0.006509424827336691,0.7895628290226596,0.8379034103913939
1681246434.4516847,[-0.39774756],[0.92807765],[0.00154267],[0.00154267],-0.002777792313329387,0.006502984189744048,0.7766720073243305,0.8540169375143053
