Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1681489172.5448973,[-0.0262562],[-0.00311619],[-0.004628],[-0.00617067],-0.023632743362091417,-0.005996657832364303,0.8797985809109636,0.7122178988326848
1681489172.6007102,[-0.0262562],[-0.00311619],[-0.00385667],[0.00077133],-0.023194780005791706,-0.0020549876256669283,0.8797985809109636,0.7122178988326848
1681489172.655154,[-0.0262562],[-0.00311619],[0.00385667],[0.006942],-0.018815146442794622,0.0014487192247307381,0.8797985809109636,0.7122178988326848
1681489172.7098813,[-0.0262562],[-0.00311619],[0.00848467],[0.01002734],-0.016187366304996374,0.003200572649929572,0.8765758754863813,0.7089951934081026
1681489172.7642412,[-0.0262562],[-0.00311619],[-0.00385667],[-0.00539934],-0.02319478000579171,-0.005558694476064595,0.8765758754863813,0.7122178988326848
1681489172.8192194,[-0.0262562],[-0.00311619],[-0.01619801],[-0.01619801],-0.03020219370658704,-0.011690181464260513,0.8765758754863813,0.7122178988326848
1681489172.8737793,[-0.02779887],[-0.00311619],[-0.00308534],[-0.00308534],-0.023990950798980434,-0.004244804407165471,0.8797985809109636,0.7122178988326848
1681489172.9284592,[-0.02779887],[-0.00311619],[-0.002314],[-0.002314],-0.023552987442680726,-0.003806841050865763,0.8765758754863813,0.7122178988326848
1681489172.9831302,[-0.02779887],[-0.00311619],[0.00077133],[0.002314],-0.021801134017481894,-0.001179060913067513,0.8797985809109636,0.7122178988326848
1681489173.0375724,[-0.02779887],[-0.00311619],[0.00077133],[-0.00077133],-0.021801134017481894,-0.0029309143382663465,0.8765758754863813,0.7122178988326848
1681489173.0923214,[-0.02779887],[-0.00311619],[-0.00308534],[-0.00308534],-0.023990950798980434,-0.004244804407165471,0.8797985809109636,0.7122178988326848
1681489173.1465836,[-0.02779887],[-0.00311619],[0.00077133],[0.00077133],-0.021801134017481894,-0.0020549876256669296,0.8765758754863813,0.7122178988326848
1681489173.2011495,[-0.02779887],[-0.00311619],[0.002314],[0.00077133],-0.020925207304882478,-0.00205498762566693,0.8765758754863813,0.7089951934081026
1681489173.2551212,[-0.02779887],[-0.00311619],[1.08420217e-19],[0.00154267],-0.022239097373781602,-0.0016170242693672213,0.8765758754863813,0.7122178988326848
1681489173.3106096,[-0.02779887],[-0.00311619],[0.00154267],[-1.08420217e-19],-0.021363170661182186,-0.002492950981966638,0.8765758754863813,0.7122178988326848
1681489173.3665626,[-0.02779887],[-0.00311619],[-0.00154267],[-0.00308534],-0.02311502408638102,-0.004244804407165471,0.8765758754863813,0.7122178988326848
1681489173.4231002,[-0.02779887],[-0.00311619],[0.00077133],[0.00077133],-0.021801134017481894,-0.0020549876256669296,0.8765758754863813,0.7122178988326848
1681489173.4789495,[-0.02779887],[-0.00311619],[0.00154267],[0.00154267],-0.021363170661182186,-0.0016170242693672216,0.8765758754863813,0.7089951934081026
1681489173.5347419,[-0.02779887],[-0.00311619],[-0.],[0.],-0.022239097373781602,-0.002492950981966638,0.8765758754863813,0.7122178988326848
1681489173.5912287,[-0.02779887],[-0.00311619],[-0.00154267],[-0.00308534],-0.02311502408638102,-0.004244804407165471,0.8765758754863813,0.7122178988326848
1681489173.6472356,[-0.02779887],[-0.00311619],[0.00077133],[0.00077133],-0.021801134017481894,-0.0020549876256669296,0.8765758754863813,0.7122178988326848
1681489173.7042904,[-0.02779887],[-0.00311619],[1.08420217e-19],[0.00154267],-0.022239097373781602,-0.0016170242693672213,0.8797985809109636,0.7122178988326848
1681489173.7612383,[-0.02779887],[-0.00311619],[1.08420217e-19],[0.00154267],-0.022239097373781602,-0.0016170242693672213,0.8765758754863813,0.7089951934081026
1681489173.8177848,[-0.02779887],[-0.00311619],[-0.002314],[-0.002314],-0.023552987442680726,-0.003806841050865763,0.8797985809109636,0.7122178988326848
1681489173.8747747,[-0.02779887],[-0.00311619],[-1.08420217e-19],[-0.00154267],-0.022239097373781602,-0.003368877694566055,0.8765758754863813,0.7089951934081026
1681489173.9316213,[-0.02779887],[-0.00311619],[-0.00539934],[-0.00848467],-0.025304840867879562,-0.007310547901263429,0.8797985809109636,0.7089951934081026
1681489173.98814,[-0.02857021],[-0.00234485],[-0.01079867],[-0.01542668],-0.02898765143672174,-0.010635151033216588,0.8765758754863813,0.7122178988326848
1681489174.043973,[-0.03011287],[-0.00234485],[-0.03239602],[-0.03085335],-0.042484759562602004,-0.01939441815921075,0.8765758754863813,0.7122178988326848
1681489174.0981858,[-0.03551221],[-0.00311619],[-0.05167937],[-0.05630737],-0.05775331299330424,-0.03446427599184534,0.8797985809109636,0.7122178988326848
1681489174.1523874,[-0.04014021],[-0.00311619],[-0.06247804],[-0.06402071],-0.06758720242996547,-0.03884390955484243,0.8797985809109636,0.7122178988326848
1681489174.206203,[-0.04631088],[-0.00311619],[-0.04705136],[-0.04859403],-0.06376447190192504,-0.030084642428848257,0.8797985809109636,0.7089951934081026
1681489174.260451,[-0.05171022],[-0.00388752],[-0.02159735],[-0.02314002],-0.05363115066724418,-0.016248918745702105,0.8765758754863813,0.7122178988326848
1681489174.3149555,[-0.05633822],[-0.00388752],[0.01619801],[0.01311268],-0.03587334865702377,0.004335359000384188,0.8797985809109636,0.7122178988326848
1681489174.3685513,[-0.05633822],[-0.00543019],[0.0547647],[0.05322204],-0.013975180842038356,0.025875319378480588,0.8765758754863813,0.7122178988326848
1681489174.4231806,[-0.05171022],[-0.00543019],[0.05167937],[0.04705136],-0.012024631818771888,0.022371612528082917,0.8797985809109636,0.7122178988326848
1681489174.4769642,[-0.04631088],[-0.00620152],[0.02159735],[0.02159735],-0.024785733191250988,0.007301754695448329,0.8797985809109636,0.7122178988326848
