Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1681261111.7199867,[-0.01767767],[-16.28113364],[-0.15349543],[-0.15349543],-0.10129684352737361,-13.112061617359847,0.9990386816205081,0.31260242618448153
1681261111.7750947,[0.0265165],[-16.06016277],[-0.01157001],[-0.01157001],0.014643753091098983,-12.854699664504063,0.9571435111009383,0.3577203021286335
1681261111.829295,[0.0265165],[-15.88338607],[-0.05399337],[-0.05399337],-0.009444231505384267,-12.73736629286324,0.9249164568551155,0.3544975967040513
1681261111.8829036,[0.0265165],[-15.70660938],[-0.03162469],[-0.03162469],0.0032567058273072734,-12.583243999293238,0.8862439917601281,0.31260242618448153
1681261111.9371703,[-0.06187184],[-15.52983268],[-0.03162469],[-0.03162469],-0.06745397229134734,-12.441822643055929,0.8540169375143053,0.31260242618448153
1681261111.9913075,[-0.23864854],[-14.9995026],[-0.14423943],[-0.14423943],-0.2728179785484147,-12.081501224363757,0.8088990615701533,0.3544975967040513
1681261112.0497308,[-0.19445436],[-14.15981329],[-0.20440347],[-0.20440347],-0.27162378128046427,-11.443910924027916,0.7734493018997483,0.351274891279469
1681261112.1069636,[-0.10606602],[-13.54109486],[-0.26379617],[-0.26379617],-0.2346362815968872,-10.98265935563241,0.7251087205310139,0.3029343099107347
1681261112.1621056,[-0.06187184],[-13.40851234],[-0.07713338],[-0.07713338],-0.09329381031303013,-10.770606206229898,0.6961043717097734,0.30615701533531703
1681261112.2173162,[-0.10606602],[-13.27592982],[-0.12727008],[-0.12727008],-0.15711676753183884,-10.693007807211398,0.6542092011902036,0.351274891279469
1681261112.2720673,[-0.10606602],[-13.18754147],[-0.17663545],[-0.17663545],-0.18514642233502016,-10.650326783895924,0.6219821469443808,0.3480521858548867
1681261112.3270383,[-0.15026019],[-12.87818225],[-0.499053],[-0.499053],-0.4035704443276252,-10.585908093413911,0.5833096818493934,0.30615701533531703
1681261112.3829658,[-0.19445436],[-12.21526964],[-0.74125182],[-0.74125182],-0.5764462772650613,-10.193098501402106,0.5575280384527351,0.3093797207598992
1681261112.4385371,[-0.15026019],[-11.81752208],[-0.47591298],[-0.47591298],-0.39043154363863464,-9.72424105530106,0.5188555733577477,0.3480521858548867
1681261112.4930177,[-0.15026019],[-11.72913373],[-0.18049212],[-0.18049212],-0.22269157817584567,-9.485790411719618,0.4898512245365072,0.34482948043030437
1681261112.547493,[-0.10606602],[-11.68493956],[-0.05862137],[-0.05862137],-0.11813802882116409,-9.381236862364934,0.4576241702906843,0.30615701533531703
1681261112.6018841,[-0.15026019],[-11.64074539],[-0.24682683],[-0.24682683],-0.26035642681762056,-9.452744582242737,0.45440146486610206,0.2997116044861524
1681261112.6572542,[-0.28284271],[-11.15460947],[-1.00427666],[-1.00427666],-0.7965024598819165,-9.49391586847645,0.4415106431677729,0.31904783703364614
1681261112.7117417,[-0.28284271],[-10.18233765],[-1.30509686],[-1.30509686],-0.9673081688388027,-8.886904118128134,0.40928358892195005,0.3577203021286335
1681261112.7668934,[-0.37123106],[-9.12167748],[-1.0528707],[-1.0528707],-0.8948048294474527,-7.895161963194273,0.3899473563744564,0.3544975967040513
1681261112.8218226,[-0.45961941],[-8.32618235],[-0.32704555],[-0.32704555],-0.5533919892880818,-6.846642341848355,0.3577203021286335,0.31904783703364614
1681261112.8763618,[-1448.52591893],[1439.91689387],[-0.02622535],[-0.02622535],-1158.835625898252,1151.9186243412666,0.33516136415655756,0.32227054245822845
1681261112.9318948,[-0.28284271],[-8.14940565],[-0.02159735],[-0.02159735],-0.23853714395608733,-6.531787496516361,0.3029343099107347,0.3577203021286335
1681261112.9864972,[-0.32703689],[-8.01682313],[-0.0570787],[-0.0570787],-0.2940387974052019,-6.445867793728165,0.3029343099107347,0.3641657129777981
1681261113.0409484,[-0.28284271],[-7.70746391],[-0.05167937],[-0.05167937],-0.2556177148517763,-6.195314676818776,0.33193865873197526,0.33516136415655756
1681261113.0959165,[-0.32703689],[-7.48649305],[-0.01928335],[-0.01928335],-0.2725785929465162,-6.00014352055755,0.3802792401007095,0.2803753719386587
1681261113.1507661,[-0.28284271],[-7.44229887],[0.02776802],[0.02776802],-0.21050748915290635,-5.938072416763941,0.3899473563744564,0.2674845502403296
1681261113.2056499,[-0.23864854],[-7.66326974],[0.03856669],[0.03856669],-0.1690206631053831,-6.108717625072383,0.4060608834973678,0.2868207827878233
1681261113.261087,[-0.32703689],[-7.84004644],[0.02005468],[0.02005468],-0.2502424617752311,-6.260650101860885,0.4479560540169375,0.32871595330739295
1681261113.3154523,[-0.59220193],[-7.92843478],[-0.18974813],[-0.18974813],-0.5815005290447156,-6.45048681289306,0.4415106431677729,0.3641657129777981
1681261113.370146,[-0.45961941],[-7.79585226],[-0.1025874],[-0.1025874],-0.4259446526048663,-6.294930936453211,0.4221744106202792,0.3577203021286335
1681261113.4263783,[-0.54800776],[-7.17713383],[-0.08638939],[-0.08638939],-0.4874581002412274,-5.790758959140334,0.3867246509498741,0.32227054245822845
1681261113.483476,[-0.54800776],[-6.5584154],[-0.14501076],[-0.14501076],-0.5207433153200052,-5.329069427388529,0.3673884184023804,0.32549324788281064
1681261113.5382066,[-0.45961941],[-5.40936688],[-0.17972079],[-0.17972079],-0.46974098823483745,-4.429538962879503,0.33838406958113987,0.3641657129777981
1681261113.5922327,[-0.50381358],[-4.12773584],[-0.12804142],[-0.12804142],-0.4757527824220842,-3.374890585286929,0.31582513160906384,0.3609430075532158
