Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1680817467.184969,[-1.41421356],[1.11022302e-16],[-0.002314],[-0.002314],-0.18190527124877712,-8.754293054587538e-05,0.0,0.0
1680817467.240269,[-0.92807765],[-6.23137851],[0.],[-0.],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817467.2955346,[-0.92807765],[-6.23137851],[-0.00154267],[-0.00154267],-0.11937624616253655,-0.8011927273559034,0.0,0.0
1680817467.3505845,[-1449.08276552],[1441.92330936],[0.00077133],[0.00077133],-186.30064250110075,185.38024861344343,0.0,0.0
1680817467.4057283,[-0.92807765],[-6.23137851],[0.00077133],[0.00077133],-0.11928870323199066,-0.8011051844253575,0.0,0.0
1680817467.4613383,[-0.92807765],[-6.23137851],[-1.08420217e-19],[1.08420217e-19],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817467.5163865,[1447.22661022],[1441.92330936],[-0.00154267],[-0.00154267],186.06197755170624,185.38016107051286,0.0,0.0
1680817467.5720582,[-0.92807765],[-6.23137851],[0.00308534],[0.00308534],-0.11920116030144476,-0.8010176414948117,0.0,0.0
1680817467.627488,[-0.92807765],[-6.23137851],[0.00077133],[0.00077133],-0.11928870323199066,-0.8011051844253575,0.0,0.0
1680817467.6827416,[-0.92807765],[-6.23137851],[0.00077133],[0.00077133],-0.11928870323199066,-0.8011051844253575,0.0,0.0
1680817467.737955,[-0.92807765],[-6.23137851],[-0.00077133],[-0.00077133],-0.1193470651856879,-0.8011635463790548,0.0,0.0
1680817467.7934833,[-0.92807765],[-6.23137851],[0.00154267],[0.00154267],-0.11925952225514203,-0.8010760034485089,0.0,0.0
1680817467.8492475,[-0.92807765],[-6.23137851],[0.],[-0.],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817467.9043,[-0.92807765],[-6.23137851],[-0.00077133],[-0.00077133],-0.1193470651856879,-0.8011635463790548,0.0,0.0
1680817467.9592512,[-0.92807765],[-6.23137851],[-0.00077133],[-0.00077133],-0.1193470651856879,-0.8011635463790548,0.0,0.0
1680817468.0142848,[-0.92807765],[-6.23137851],[-0.00077133],[-0.00077133],-0.1193470651856879,-0.8011635463790548,0.0,0.0
1680817468.0691044,[-0.92807765],[-6.23137851],[1.08420217e-19],[-1.08420217e-19],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817468.1243527,[-0.92807765],[-6.23137851],[-0.002314],[-0.002314],-0.11940542713938516,-0.8012219083327521,0.0,0.0
1680817468.179459,[-0.92807765],[-6.23137851],[-0.002314],[-0.002314],-0.11940542713938516,-0.8012219083327521,0.0,0.0
1680817468.2379007,[-0.92807765],[-6.23137851],[-1.08420217e-19],[1.08420217e-19],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817468.2944047,[-0.92807765],[-6.23137851],[-0.00077133],[-0.00077133],-0.1193470651856879,-0.8011635463790548,0.0,0.0
1680817468.350503,[-0.92807765],[-6.23137851],[1.08420217e-19],[-1.08420217e-19],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817468.4061718,[-0.92807765],[-6.23137851],[0.00077133],[0.00077133],-0.11928870323199066,-0.8011051844253575,0.0,0.0
1680817468.4610796,[-0.92807765],[-6.23137851],[0.00077133],[0.00077133],-0.11928870323199066,-0.8011051844253575,0.0,0.0
1680817468.5163872,[4.7287766],[-11.88823276],[-0.00077133],[-0.00077133],0.6079238480872369,-1.5284344596519799,0.0,0.0
1680817468.572341,[-0.92807765],[-6.23137851],[-0.00154267],[-0.00154267],-0.11937624616253655,-0.8011927273559034,0.0,0.0
1680817468.6305647,[-0.92807765],[-6.23137851],[2.16840434e-19],[-2.16840434e-19],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817468.6867213,[-0.92807765],[-6.23137851],[-0.00154267],[-0.00154267],-0.11937624616253655,-0.8011927273559034,0.0,0.0
1680817468.7427788,[-0.92807765],[-6.23137851],[0.00154267],[0.00154267],-0.11925952225514203,-0.8010760034485089,0.0,0.0
1680817468.8014865,[-0.92807765],[-6.23137851],[-0.00154267],[-0.00154267],-0.11937624616253655,-0.8011927273559034,0.0,0.0
1680817468.8622332,[-0.92807765],[-6.23137851],[0.],[-0.],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817468.9211633,[-0.92807765],[-6.23137851],[-0.00154267],[-0.00154267],-0.11937624616253655,-0.8011927273559034,0.0,0.0
1680817468.982132,[-0.92807765],[-6.23137851],[0.00077133],[0.00077133],-0.11928870323199066,-0.8011051844253575,0.0,0.0
1680817469.0424228,[-0.92807765],[-6.23137851],[0.002314],[0.002314],-0.11923034127829339,-0.8010468224716603,0.0,0.0
1680817469.1014829,[-0.92807765],[-6.23137851],[0.002314],[0.002314],-0.11923034127829339,-0.8010468224716603,0.0,0.0
1680817469.161001,[-0.92807765],[-6.23137851],[0.],[-0.],-0.11931788420883928,-0.8011343654022062,0.0,0.0
1680817469.2212193,[-0.92807765],[-6.23137851],[0.002314],[0.002314],-0.11923034127829339,-0.8010468224716603,0.0,0.0
1680817469.2810457,[-0.92807765],[-6.23137851],[0.00154267],[0.00154267],-0.11925952225514203,-0.8010760034485089,0.0,0.0
1680817469.340999,[-0.92807765],[-6.23137851],[0.00077133],[0.00077133],-0.11928870323199066,-0.8011051844253575,0.0,0.0
1680817469.4010975,[-0.92807765],[-6.23137851],[-0.00154267],[-0.00154267],-0.11937624616253655,-0.8011927273559034,0.0,0.0
1680817469.4636343,[-0.92807765],[-6.23137851],[-0.00154267],[-0.00154267],-0.11937624616253655,-0.8011927273559034,0.0,0.0
1680817469.5233803,[-0.92807765],[-6.23137851],[-0.00385667],[-0.00385667],-0.11946378909308242,-0.8012802702864494,0.0,0.0
