Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1681248977.2644374,[-20.32931996],[-27.75394116],[0.37178291],[0.37178291],-0.12200589268946953,-0.17397824110668078,0.4737376974135958,0.3802792401007095
1681248977.322756,[-20.90384422],[-27.44458194],[0.36869758],[0.36869758],-0.1261960218188732,-0.17198118590070213,0.5124101625085832,0.41572899977111466
1681248977.383773,[-21.38998013],[-27.22361108],[0.002314],[0.002314],-0.14960351643269756,-0.19043893304622064,0.5800869764248112,0.48018310826276034
1681248977.442364,[-21.25739761],[-27.26780525],[-0.39569426],[-0.39569426],-0.17040668995365732,-0.21247954343425687,0.5865323872739757,0.49307392996108945
1681248977.5001779,[-20.50609665],[-27.57716447],[-0.38952359],[-0.38952359],-0.16481066464577204,-0.21430813932883033,0.5510826276035705,0.45440146486610206
1681248977.5580223,[-19.93157239],[-27.79813534],[-0.00925601],[-0.00925601],-0.14002638469708617,-0.1950923252819885,0.49307392996108945,0.39317006179903863
1681248977.6169493,[-19.97576657],[-27.66555281],[0.34247223],[0.34247223],-0.12113138241366576,-0.17495988613149163,0.4866285191119249,0.3802792401007095
1681248977.676439,[-20.68287335],[-27.31199942],[0.37409691],[0.37409691],-0.12435442194006859,-0.17075830445543574,0.5285236896314945,0.4221744106202792
1681248977.735702,[-21.12481509],[-27.13522273],[2.16840434e-19],[-2.16840434e-19],-0.14787370561563676,-0.1899465590962363,0.589755092698558,0.48340581368734264
1681248977.7934856,[-21.03642674],[-27.22361108],[-0.38181025],[-0.38181025],-0.1681018269684885,-0.21141211731616452,0.5994232089723048,0.49629663538567176
1681248977.8533235,[-20.32931996],[-27.48877612],[-0.39723693],[-0.39723693],-0.16399437605720849,-0.21411056917380503,0.5639734493018997,0.4576241702906843
1681248977.9126637,[-19.79898987],[-27.66555281],[-0.03625269],[-0.03625269],-0.1405723260215741,-0.19563826660647643,0.5027420462348363,0.3899473563744564
1681248977.9716902,[-19.88737822],[-27.57716447],[0.3987796],[0.3987796],-0.11743828154698317,-0.171266785264809,0.49629663538567176,0.3835019455252918
1681248978.0304816,[-20.594485],[-27.22361108],[0.36484091],[0.36484091],-0.12424108144074587,-0.17064496395611303,0.5349691004806592,0.41572899977111466
1681248978.0887327,[-21.12481509],[-27.04683438],[0.04010936],[0.04010936],-0.14568373456736955,-0.18713786961443085,0.5994232089723048,0.48018310826276034
1681248978.147325,[-21.03642674],[-27.22361108],[-0.32550288],[-0.32550288],-0.16502744453534413,-0.20833773488302015,0.6090913252460517,0.49629663538567176
1681248978.2052686,[-20.50609665],[-27.48877612],[-0.32550288],[-0.32550288],-0.16131513393411476,-0.2101938901836348,0.5736415655756466,0.4576241702906843
1681248978.2632973,[-20.19673744],[-27.62135864],[0.04165203],[0.04165203],-0.13910296135951553,-0.1910753097767268,0.5156328679331655,0.3899473563744564
1681248978.320816,[-20.46190248],[-27.53297029],[0.47591298],[0.47591298],-0.11724846857985234,-0.16674594326291065,0.5059647516594187,0.3802792401007095
1681248978.379398,[-21.30159178],[-27.13522273],[0.39106626],[0.39106626],-0.12775892476210776,-0.1685943413756308,0.544637216754406,0.41895170519569697
1681248978.4383519,[-21.83192187],[-27.04683438],[0.00925601],[0.00925601],-0.1523180751497271,-0.18882246272848258,0.6090913252460517,0.48018310826276034
1681248978.4957442,[-21.7877277],[-27.1794169],[-0.42269095],[-0.42269095],-0.17559301952968195,-0.2133348439755139,0.6187594415197984,0.49307392996108945
1681248978.553566,[-21.08062091],[-27.53297029],[-0.36946891],[-0.36946891],-0.16773734893963693,-0.21290379458792763,0.5800869764248112,0.45440146486610206
1681248978.6130648,[-20.63867918],[-27.70974699],[0.01928335],[0.01928335],-0.14341788353489418,-0.19291535821795247,0.52207827878233,0.3899473563744564
1681248978.6704009,[-20.81545587],[-27.53297029],[0.46202897],[0.46202897],-0.12048140921532857,-0.16750401016423389,0.4898512245365072,0.39639276722362093
1681248978.728462,[-21.47836848],[-27.22361108],[0.37641092],[0.37641092],-0.12979654335835877,-0.17001324153834366,0.5091874570840009,0.4286198214694438
1681248978.785749,[-22.00869856],[-27.04683438],[0.03393869],[0.03393869],-0.1522078375255622,-0.1874747882372412,0.5639734493018997,0.48340581368734264
1681248978.842887,[-22.00869856],[-27.04683438],[-0.38875226],[-0.38875226],-0.17528676318807065,-0.21055371389974967,0.5736415655756466,0.49629663538567176
1681248978.9014683,[-21.38998013],[-27.40038777],[-0.39183759],[-0.39183759],-0.1711241934647082,-0.21319704694530778,0.5414145113298238,0.4576241702906843
1681248978.960468,[-20.94803839],[-27.48877612],[-0.0524507],[-0.0524507],-0.1495000770424482,-0.19528524112427711,0.48018310826276034,0.39317006179903863
1681248979.018751,[-20.99223257],[-27.44458194],[0.4057216],[0.4057216],-0.12479322851554937,-0.16995967416384006,0.47696040283817803,0.3835019455252918
1681248979.078397,[-21.74353352],[-27.04683438],[0.36484091],[0.36484091],-0.13228442107674282,-0.16940752708903656,0.5156328679331655,0.4221744106202792
1681248979.1378202,[-22.27386361],[-26.87005769],[-0.00308534],[-0.00308534],-0.1560855045630389,-0.18825886310702677,0.5833096818493934,0.48340581368734264
1681248979.1956236,[-22.18547526],[-26.95844603],[-0.42037694],[-0.42037694],-0.1782509079970501,-0.2116617034081145,0.589755092698558,0.49951934081025406
1681248979.253085,[-21.4341743],[-27.3561936],[-0.39338026],[-0.39338026],-0.1715177823371799,-0.21297191738424123,0.5543053330281529,0.4640695811398489
1681248979.3109143,[-20.90384422],[-27.44458194],[-0.06710604],[-0.06710604],-0.14999089955485367,-0.1957760636366826,0.49951934081025406,0.39639276722362093
1681248979.369242,[-20.90384422],[-27.3561936],[0.40032226],[0.40032226],-0.12446931387697019,-0.16963575952526092,0.49307392996108945,0.3867246509498741
1681248979.4277182,[-15.99829092],[-32.52691193],[0.38643826],[0.38643826],-0.09088850771692177,-0.20658885478857056,0.5285236896314945,0.4221744106202792
1681248979.486589,[-22.14128109],[-26.64908682],[-0.17355011],[-0.17355011],-0.1644648038678673,-0.19601944397831694,0.5639734493018997,0.40928358892195005
1681248979.5450764,[-21.7877277],[-26.82586351],[-0.26842418],[-0.26842418],-0.1671700539594234,-0.2024370046711024,0.5639734493018997,0.41250629434653235
1681248979.6050692,[-21.38998013],[-26.87005769],[-0.10798674],[-0.10798674],-0.15562593681543244,-0.19398647969480262,0.52207827878233,0.45440146486610206
1681248979.6651666,[-21.16900926],[-26.82586351],[0.00771334],[0.00771334],-0.14776191655389292,-0.18735989630033958,0.49307392996108945,0.4447333485923552
1681248979.7234244,[-21.12481509],[-26.87005769],[0.07559072],[0.07559072],-0.14374645248621007,-0.1839631506661949,0.5124101625085832,0.41250629434653235
1681248979.7815747,[-21.25739761],[-26.73747516],[0.12341341],[0.12341341],-0.14206341080973725,-0.18042395368910744,0.5414145113298238,0.4221744106202792
1681248979.8396933,[-21.47836848],[-26.51650429],[-0.08021872],[-0.08021872],-0.15472852144632415,-0.18999547215800316,0.5285236896314945,0.4511787594415198
1681248979.8966873,[-21.25739761],[-26.56069847],[-0.31856088],[-0.31856088],-0.16619520716852804,-0.20331831318082175,0.49951934081025406,0.4415106431677729
1681248979.9543343,[-20.68287335],[-26.78166934],[-0.49751033],[-0.49751033],-0.17194417741202947,-0.21463574932616727,0.45440146486610206,0.39317006179903863
1681248980.0124483,[-19.88737822],[-26.95844603],[-0.41420627],[-0.41420627],-0.1618273101022458,-0.2113247847853041,0.47696040283817803,0.3480521858548867
1681248980.070954,[-19.22446561],[-27.00264021],[-0.19051946],[-0.19051946],-0.14497362177383416,-0.19942084392519832,0.5091874570840009,0.3577203021286335
1681248980.1304245,[-19.00349474],[-26.95844603],[0.08099005],[0.08099005],-0.1286024062863335,-0.1842870653047741,0.5639734493018997,0.41572899977111466
1681248980.1892393,[-19.13607727],[-26.73747516],[-0.12495608],[-0.12495608],-0.14077514297293603,-0.1939849282572237,0.5543053330281529,0.4576241702906843
1681248980.2473495,[-18.9151064],[-26.78166934],[-0.17740678],[-0.17740678],-0.14209215518297838,-0.19715809576788076,0.5285236896314945,0.4479560540169375
1681248980.305417,[-18.64994135],[-26.78166934],[-0.18512012],[-0.18512012],-0.14065714816087663,-0.19757924404639368,0.48340581368734264,0.39961547264820324
1681248980.3630068,[-18.38477631],[-26.69328099],[0.08716072],[0.08716072],-0.12393445862875556,-0.1820939913813491,0.48340581368734264,0.3899473563744564
1681248980.420903,[-18.56155301],[-26.51650429],[0.28462219],[0.28462219],-0.11439049956590104,-0.17007515858434163,0.52207827878233,0.4286198214694438
1681248980.4792829,[-18.95930057],[-26.38392177],[0.2506835],[0.2506835],-0.11902778494227999,-0.17100013335949119,0.5865323872739757,0.4898512245365072
1681248980.5390105,[-19.13607727],[-26.29553343],[-0.23217149],[-0.23217149],-0.14662910404426577,-0.1967452971608623,0.589755092698558,0.5027420462348363
1681248980.599243,[-18.69413553],[-26.38392177],[-0.26302484],[-0.26302484],-0.14522010499062632,-0.19904860870845223,0.5510826276035705,0.4640695811398489
1681248980.6578307,[-18.42897048],[-26.38392177],[-0.03625269],[-0.03625269],-0.13098219030173153,-0.18666684932017213,0.49307392996108945,0.39639276722362093
1681248980.7157598,[-18.51735883],[-26.29553343],[0.44968763],[0.44968763],-0.10506856718895526,-0.1595157893403194,0.4898512245365072,0.3867246509498741
1681248980.7740662,[-19.35704813],[-25.98617421],[0.49751033],[0.49751033],-0.10833527298078831,-0.15473915549615544,0.5285236896314945,0.4221744106202792
1681248980.8329222,[-20.01996074],[-25.85359169],[0.16737944],[0.16737944],-0.13100080755267834,-0.17183622416620142,0.5929777981231402,0.4866285191119249
1681248980.892909,[-20.19673744],[-25.85359169],[-0.32550288],[-0.32550288],-0.15914961941673092,-0.19874759916317758,0.5994232089723048,0.49629663538567176
1681248980.951204,[-19.7547957],[-26.20714508],[-0.27613752],[-0.27613752],-0.15336067826655703,-0.19852712391484775,0.5607507438773174,0.4576241702906843
1681248981.0104117,[-19.578019],[-26.29553343],[0.08176139],[0.08176139],-0.1325819612764807,-0.17960456222538607,0.5027420462348363,0.39317006179903863
1681248981.0684085,[-19.88737822],[-26.1629509],[0.41960561],[0.41960561],-0.11630118119499824,-0.16023018997621247,0.49629663538567176,0.3802792401007095
1681248981.1270049,[-20.68287335],[-25.98617421],[0.40649294],[0.40649294],-0.12258559917031427,-0.159708705182608,0.5349691004806592,0.41895170519569697
1681248981.1887572,[-21.25739761],[-25.85359169],[0.02776802],[0.02776802],-0.14728564946329756,-0.17945900800728545,0.5994232089723048,0.48340581368734264
1681248981.2512395,[-21.21320344],[-26.07456256],[-0.41112094],[-0.41112094],-0.1709396272939141,-0.20496914113851666,0.6026459143968872,0.49307392996108945
1681248981.312016,[-20.594485],[-26.42811595],[-0.27768018],[-0.27768018],-0.15932273304087283,-0.20015814965439588,0.5607507438773174,0.4479560540169375
1681248981.3706136,[-20.37351413],[-26.47231012],[0.11647141],[0.11647141],-0.1362552599250166,-0.17894683183915436,0.49951934081025406,0.3802792401007095
1681248981.4280722,[-20.594485],[-26.3397276],[0.41652028],[0.41652028],-0.12141938797470925,-0.1616360861546941,0.49307392996108945,0.3641657129777981
1681248981.4859848,[-21.30159178],[-25.98617421],[0.3987796],[0.3987796],-0.12733777648359482,-0.16012985346112096,0.5317463950560769,0.39961547264820324
1681248981.5440621,[-1469.89822139],[1422.34529036],[0.00925601],[0.00925601],-10.288782171806531,9.9569224104314,0.5929777981231402,0.4640695811398489
1681248981.6023936,[-21.65514517],[-25.89778586],[-0.42346228],[-0.42346228],-0.1747070567072259,-0.20440554151706086,0.5833096818493934,0.5059647516594187
1681248981.6604357,[-20.99223257],[-26.20714508],[-0.35172823],[-0.35172823],-0.16614998946551895,-0.20265437704427444,0.5543053330281529,0.49629663538567176
