Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1681261066.7803721,[-0.01767767],[-0.01767767],[-0.00385667],[-0.00385667],-0.016331952405229506,-0.016331952405229506,0.8185671778439001,0.7057724879835202
1681261066.839272,[-0.01767767],[-0.01767767],[0.002314],[0.002314],-0.012828245554831839,-0.012828245554831839,0.7734493018997483,0.7573357747768368
1681261066.8975198,[-0.01767767],[-0.01767767],[0.00154267],[0.00154267],-0.013266208911131547,-0.013266208911131547,0.7895628290226596,0.7927855344472419
1681261066.95571,[0.0265165],[-0.06187184],[0.00077133],[0.00077133],0.021651166791896118,-0.049059511326758634,0.8185671778439001,0.7798947127489128
1681261067.013821,[0.0265165],[-0.06187184],[0.00154267],[0.00154267],0.022089130148195826,-0.04862154797045893,0.8701304646372168,0.7315541313801784
1681261067.0722842,[0.0265165],[-0.06187184],[0.],[-0.],0.02121320343559641,-0.049497474683058346,0.8604623483634698,0.6896589608606087
1681261067.1303325,[0.0265165],[-0.06187184],[-0.00385667],[-0.00385667],0.01902338665409787,-0.05168729146455689,0.8346807049668116,0.6961043717097734
1681261067.1888385,[0.0265165],[-0.06187184],[-0.002314],[-0.002314],0.019899313366697285,-0.05081136475195747,0.8475715266651408,0.7315541313801784
1681261067.2470703,[0.0265165],[-0.06187184],[-0.00077133],[-0.00077133],0.0207752400792967,-0.04993543803935806,0.8797985809109636,0.715440604257267
1681261067.306074,[-0.01767767],[-0.01767767],[-0.00154267],[-0.00154267],-0.015018062336330382,-0.015018062336330379,0.8669077592126344,0.6864362554360265
1681261067.3653383,[-0.01767767],[-0.01767767],[-0.004628],[-0.004628],-0.016769915761529215,-0.016769915761529215,0.8379034103913939,0.6993270771343556
1681261067.4240427,[-0.01767767],[-0.01767767],[0.00077133],[0.00077133],-0.013704172267431257,-0.013704172267431255,0.7895628290226596,0.7476676585030899
1681261067.483097,[-0.01767767],[-0.01767767],[0.002314],[0.002314],-0.012828245554831839,-0.012828245554831839,0.7218860151064316,0.8153444724193178
1681261067.5415757,[-0.01767767],[-0.01767767],[-0.00308534],[-0.00308534],-0.0158939890489298,-0.015893989048929795,0.715440604257267,0.828235294117647
1681261067.5999563,[-0.01767767],[-0.01767767],[-0.00617067],[-0.00617067],-0.01764584247412863,-0.01764584247412863,0.7541130693522544,0.7927855344472419
