Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1681449815.1908712,[-1.4601755],[0.83792154],[0.00385667],[0.00539934],-1.165950585738678,0.6734029720589452,1.1053879606317234,0.34482948043030437
1681449815.244769,[-0.17854446],[-0.44370951],[0.00617067],[0.00771334],-0.13933186294928496,-0.3505879705926498,1.1086106660563058,0.34482948043030437
1681449815.2992215,[0.26339728],[-0.00176777],[0.00539934],[0.00539934],0.2137835642876891,0.001651529931724835,1.1053879606317234,0.34482948043030437
1681449815.3531249,[0.26339728],[-0.00176777],[-0.00077133],[0.00077133],0.21027985743729144,-0.0009762502060734151,1.1053879606317234,0.34482948043030437
1681449815.4069006,[0.26339728],[-0.00176777],[-0.00308534],[-0.00308534],0.2089659673683923,-0.003166066987571957,1.1053879606317234,0.34482948043030437
1681449815.460685,[0.26339728],[-0.00176777],[-0.00154267],[-0.00308534],0.20984189408099171,-0.003166066987571957,1.1086106660563058,0.34482948043030437
1681449815.5143917,[0.26339728],[-0.00176777],[0.],[-0.],0.21071782079359114,-0.0014142135623731234,1.1086106660563058,0.34482948043030437
1681449815.568253,[0.26339728],[-0.00176777],[-0.00154267],[-0.00154267],0.20984189408099171,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449815.6227088,[0.26339728],[-0.00176777],[-0.002314],[-0.002314],0.20940393072469202,-0.0027281036312722484,1.1053879606317234,0.34482948043030437
1681449815.676467,[0.26339728],[-0.00176777],[-0.00077133],[-0.00077133],0.21027985743729144,-0.0018521769186728317,1.1086106660563058,0.34482948043030437
1681449815.7304544,[0.26339728],[-0.00176777],[-0.00308534],[2.16840434e-19],0.2089659673683923,-0.0014142135623731232,1.1053879606317234,0.34482948043030437
1681449815.7842336,[0.26339728],[-0.00176777],[0.00154267],[0.004628],0.21159374750619056,0.0012135665754251265,1.1053879606317234,0.34482948043030437
1681449815.8382893,[0.26339728],[-0.00176777],[0.00308534],[0.00308534],0.21246967421878998,0.0003376398628257098,1.1086106660563058,0.34482948043030437
1681449815.892587,[0.26339728],[-0.00176777],[0.002314],[0.00539934],0.21203171086249026,0.001651529931724835,1.1053879606317234,0.34482948043030437
1681449815.946095,[0.26339728],[-0.00176777],[0.006942],[0.00539934],0.2146594910002885,0.001651529931724835,1.1053879606317234,0.34482948043030437
1681449815.999921,[0.26339728],[-0.00176777],[0.00077133],[0.002314],0.21115578414989083,-0.00010032349347399846,1.1053879606317234,0.34482948043030437
1681449816.054,[0.26339728],[-0.00176777],[-0.002314],[-0.002314],0.20940393072469202,-0.0027281036312722484,1.1086106660563058,0.34482948043030437
1681449816.1080215,[0.26339728],[-0.00176777],[0.00154267],[0.00154267],0.21159374750619056,-0.0005382868497737068,1.1053879606317234,0.34482948043030437
1681449816.1622453,[0.26339728],[-0.00176777],[0.00539934],[0.002314],0.2137835642876891,-0.00010032349347399868,1.1086106660563058,0.34482948043030437
1681449816.219113,[0.26339728],[-0.00176777],[0.00154267],[-1.08420217e-19],0.21159374750619056,-0.0014142135623731234,1.1086106660563058,0.34482948043030437
1681449816.275973,[0.26339728],[-0.00176777],[0.00077133],[-0.002314],0.21115578414989083,-0.0027281036312722484,1.1086106660563058,0.34482948043030437
1681449816.3299034,[0.26339728],[-0.00176777],[-0.00154267],[0.00154267],0.20984189408099171,-0.0005382868497737067,1.1053879606317234,0.3480521858548867
1681449816.3857796,[0.26339728],[-0.00176777],[0.00154267],[0.00154267],0.21159374750619056,-0.0005382868497737068,1.1086106660563058,0.3480521858548867
1681449816.439991,[0.26339728],[-0.00176777],[-0.00077133],[-0.00077133],0.21027985743729144,-0.0018521769186728317,1.1086106660563058,0.34482948043030437
1681449816.4940882,[0.26339728],[-0.00176777],[-0.002314],[0.00077133],0.20940393072469202,-0.000976250206073415,1.1053879606317234,0.3480521858548867
1681449816.5485208,[0.26339728],[-0.00176777],[-0.00077133],[0.002314],0.21027985743729144,-0.00010032349347399846,1.1053879606317234,0.34482948043030437
1681449816.6034393,[0.26339728],[-0.00176777],[0.00077133],[0.002314],0.21115578414989083,-0.00010032349347399846,1.1053879606317234,0.34482948043030437
1681449816.6577814,[0.26339728],[-0.00176777],[-0.004628],[-0.00154267],0.2080900406557929,-0.00229014027497254,1.1086106660563058,0.34482948043030437
1681449816.7120667,[0.26339728],[-0.00176777],[-0.00077133],[-0.00077133],0.21027985743729144,-0.0018521769186728317,1.1053879606317234,0.34482948043030437
1681449816.7668009,[0.26339728],[-0.00176777],[-0.00154267],[1.08420217e-19],0.20984189408099171,-0.0014142135623731234,1.1053879606317234,0.3480521858548867
1681449816.8223681,[0.26339728],[-0.00176777],[-0.002314],[-0.00077133],0.20940393072469202,-0.0018521769186728317,1.1053879606317234,0.34482948043030437
1681449816.8800766,[0.26339728],[-0.00176777],[-1.08420217e-19],[-0.00154267],0.21071782079359114,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449816.9376595,[0.26339728],[-0.00176777],[-2.16840434e-19],[-0.00308534],0.21071782079359114,-0.003166066987571957,1.1086106660563058,0.3480521858548867
1681449816.994762,[0.26339728],[-0.00176777],[1.08420217e-19],[0.00154267],0.21071782079359114,-0.0005382868497737067,1.1086106660563058,0.34482948043030437
1681449817.0518866,[0.26339728],[-0.00176777],[0.],[-0.],0.21071782079359114,-0.0014142135623731234,1.1086106660563058,0.3480521858548867
1681449817.108541,[0.26339728],[-0.00176777],[0.00308534],[0.00308534],0.21246967421878998,0.0003376398628257098,1.1086106660563058,0.34482948043030437
1681449817.1659062,[0.26339728],[-0.00176777],[-1.08420217e-19],[-0.00154267],0.21071782079359114,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449817.2237015,[0.26339728],[-0.00176777],[0.],[-0.],0.21071782079359114,-0.0014142135623731234,1.1053879606317234,0.34482948043030437
1681449817.281283,[0.26339728],[-0.00176777],[0.002314],[0.00077133],0.21203171086249026,-0.0009762502060734152,1.1053879606317234,0.34482948043030437
1681449817.3391333,[0.26339728],[-0.00176777],[0.00154267],[-0.00154267],0.21159374750619056,-0.00229014027497254,1.1086106660563058,0.34482948043030437
1681449817.3963296,[0.26339728],[-0.00176777],[-0.00308534],[-0.00154267],0.2089659673683923,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449817.4537537,[0.26339728],[-0.00176777],[1.08420217e-19],[0.00154267],0.21071782079359114,-0.0005382868497737067,1.1053879606317234,0.34482948043030437
1681449817.5106113,[0.26339728],[-0.00176777],[-0.00077133],[0.00077133],0.21027985743729144,-0.0009762502060734151,1.1086106660563058,0.34482948043030437
1681449817.5679803,[0.26339728],[-0.00176777],[0.00077133],[0.00077133],0.21115578414989083,-0.0009762502060734152,1.1053879606317234,0.34482948043030437
1681449817.6250591,[0.26339728],[-0.00176777],[-0.002314],[-0.00077133],0.20940393072469202,-0.0018521769186728317,1.1086106660563058,0.34482948043030437
1681449817.6826694,[0.26339728],[-0.00176777],[-0.004628],[-0.00154267],0.2080900406557929,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449817.7407131,[0.26339728],[-0.00176777],[0.002314],[0.00385667],0.21203171086249026,0.0007756032191254185,1.1053879606317234,0.34482948043030437
1681449817.7975533,[0.26339728],[-0.00176777],[0.002314],[0.002314],0.21203171086249026,-0.00010032349347399846,1.1053879606317234,0.34482948043030437
1681449817.8551106,[0.26339728],[-0.00176777],[-0.00077133],[-0.00077133],0.21027985743729144,-0.0018521769186728317,1.1053879606317234,0.34482948043030437
1681449817.913592,[0.26339728],[-0.00176777],[-0.00077133],[0.002314],0.21027985743729144,-0.00010032349347399846,1.1053879606317234,0.34482948043030437
1681449817.9709625,[0.26339728],[-0.00176777],[0.00385667],[0.002314],0.21290763757508968,-0.00010032349347399868,1.1053879606317234,0.34482948043030437
1681449818.0297377,[0.26339728],[-0.00176777],[0.002314],[0.00077133],0.21203171086249026,-0.0009762502060734152,1.1053879606317234,0.34482948043030437
1681449818.088769,[0.26339728],[-0.00176777],[-1.08420217e-19],[-0.00154267],0.21071782079359114,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449818.1465418,[0.26339728],[-0.00176777],[2.16840434e-19],[0.00308534],0.21071782079359114,0.00033763986282571,1.1086106660563058,0.34482948043030437
1681449818.2039115,[0.26339728],[-0.00176777],[-1.08420217e-19],[-0.00154267],0.21071782079359114,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449818.2614343,[0.26339728],[-0.00176777],[-1.08420217e-19],[-0.00154267],0.21071782079359114,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449818.3198886,[0.26339728],[-0.00176777],[0.00077133],[0.00385667],0.21115578414989083,0.0007756032191254185,1.1053879606317234,0.34482948043030437
1681449818.3791313,[0.26339728],[-0.00176777],[0.00154267],[0.004628],0.21159374750619056,0.0012135665754251265,1.1053879606317234,0.34482948043030437
1681449818.43742,[0.26339728],[-0.00176777],[-0.004628],[-0.004628],0.2080900406557929,-0.004041993700171373,1.1086106660563058,0.3480521858548867
1681449818.497233,[0.26339728],[-0.00176777],[1.08420217e-19],[0.00154267],0.21071782079359114,-0.0005382868497737067,1.1086106660563058,0.34482948043030437
1681449818.5559576,[0.26339728],[-0.00176777],[0.00154267],[0.004628],0.21159374750619056,0.0012135665754251265,1.1053879606317234,0.34482948043030437
1681449818.610602,[0.26339728],[-0.00176777],[-0.00077133],[-0.00077133],0.21027985743729144,-0.0018521769186728317,1.1086106660563058,0.34482948043030437
1681449818.6645184,[0.26339728],[-0.00176777],[-0.002314],[-0.00077133],0.20940393072469202,-0.0018521769186728317,1.1053879606317234,0.34482948043030437
1681449818.7187195,[0.26339728],[-0.00176777],[0.00154267],[-1.08420217e-19],0.21159374750619056,-0.0014142135623731234,1.1053879606317234,0.3480521858548867
1681449818.7730472,[0.26339728],[-0.00176777],[4.33680869e-19],[0.004628],0.21071782079359114,0.001213566575425127,1.1053879606317234,0.34482948043030437
1681449818.8272276,[0.26339728],[-0.00176777],[-0.00154267],[-0.00308534],0.20984189408099171,-0.003166066987571957,1.1053879606317234,0.34482948043030437
1681449818.8816292,[0.26339728],[-0.00176777],[0.00077133],[0.00077133],0.21115578414989083,-0.0009762502060734152,1.1086106660563058,0.3480521858548867
1681449818.9354703,[0.26339728],[-0.00176777],[-2.16840434e-19],[-0.00308534],0.21071782079359114,-0.003166066987571957,1.1053879606317234,0.34482948043030437
1681449818.989618,[0.26339728],[-0.00176777],[0.00077133],[0.00077133],0.21115578414989083,-0.0009762502060734152,1.1086106660563058,0.34482948043030437
1681449819.0439591,[0.26339728],[-0.00176777],[0.00077133],[-0.00077133],0.21115578414989083,-0.001852176918672832,1.1053879606317234,0.34482948043030437
1681449819.0976205,[0.26339728],[-0.00176777],[-0.00077133],[0.00077133],0.21027985743729144,-0.0009762502060734151,1.1053879606317234,0.34482948043030437
1681449819.1525235,[0.26339728],[-0.00176777],[0.],[-0.],0.21071782079359114,-0.0014142135623731234,1.1053879606317234,0.34482948043030437
1681449819.2061613,[0.26339728],[-0.00176777],[0.00077133],[-0.00077133],0.21115578414989083,-0.001852176918672832,1.1053879606317234,0.34482948043030437
1681449819.2612154,[0.26339728],[-0.00176777],[-0.00154267],[-0.00308534],0.20984189408099171,-0.003166066987571957,1.1053879606317234,0.34482948043030437
1681449819.3152595,[0.26339728],[-0.00176777],[0.00154267],[0.00154267],0.21159374750619056,-0.0005382868497737068,1.1053879606317234,0.34482948043030437
1681449819.369507,[0.26339728],[-0.00176777],[0.00154267],[0.00154267],0.21159374750619056,-0.0005382868497737068,1.1053879606317234,0.34482948043030437
1681449819.4236603,[0.26339728],[-0.00176777],[-0.00308534],[-0.00154267],0.2089659673683923,-0.00229014027497254,1.1053879606317234,0.34482948043030437
1681449819.4783368,[0.26339728],[-0.00176777],[0.002314],[0.002314],0.21203171086249026,-0.00010032349347399846,1.1053879606317234,0.34482948043030437
