Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1681253331.185756,[-1.63518443],[1.016466],[-0.002314],[-0.002314],-0.013094614352640121,0.008118589082956307,0.828235294117647,0.828235294117647
1681253331.2410398,[-3.93328147],[-19.22446561],[-0.00308534],[-0.00308534],-0.03148377029705337,-0.15381324344232608,0.828235294117647,0.8314579995422293
1681253331.296656,[-3.93328147],[-19.22446561],[-0.00077133],[-0.00077133],-0.03147063139636438,-0.1538001045416371,0.828235294117647,0.828235294117647
1681253331.3522465,[-3.8890873],[-19.18027144],[0.00077133],[0.00077133],-0.031108318738645103,-0.15343779188391782,0.828235294117647,0.828235294117647
1681253331.4079869,[-3.8890873],[-19.18027144],[1.08420217e-19],[-1.08420217e-19],-0.031112698372208102,-0.15344217151748082,0.828235294117647,0.828235294117647
1681253331.4637327,[-3.8890873],[-19.18027144],[-0.00308534],[-0.00308534],-0.031130216906460093,-0.15345969005173282,0.828235294117647,0.828235294117647
1681253331.5187268,[-3.8890873],[-19.18027144],[-1.08420217e-19],[1.08420217e-19],-0.031112698372208102,-0.15344217151748082,0.8314579995422293,0.8314579995422293
1681253331.5741029,[-3.8890873],[-19.18027144],[-0.00077133],[-0.00077133],-0.031117078005771102,-0.1534465511510438,0.828235294117647,0.828235294117647
1681253331.6292965,[-3.8890873],[-19.18027144],[-0.00385667],[-0.00385667],-0.031134596540023086,-0.1534640696852958,0.828235294117647,0.828235294117647
1681253331.6843832,[-3.8890873],[-19.18027144],[-0.00308534],[-0.00308534],-0.031130216906460093,-0.15345969005173282,0.828235294117647,0.828235294117647
1681253331.739894,[-3.8890873],[-19.18027144],[0.00077133],[0.00077133],-0.031108318738645103,-0.15343779188391782,0.828235294117647,0.828235294117647
1681253331.7962162,[-3.84489312],[-19.22446561],[-0.00077133],[-0.00077133],-0.030763524615177833,-0.1538001045416371,0.8250125886930647,0.828235294117647
1681253331.8530126,[-3.84489312],[-19.22446561],[-0.00154267],[-0.00154267],-0.030767904248740825,-0.15380448417520007,0.8314579995422293,0.828235294117647
1681253331.908943,[-3.84489312],[-19.22446561],[0.00154267],[0.00154267],-0.03075038571448884,-0.1537869656409481,0.828235294117647,0.828235294117647
1681253331.9653966,[-3.84489312],[-19.22446561],[0.],[-0.],-0.030759144981614833,-0.15379572490807408,0.828235294117647,0.828235294117647
